station_id,station_name,province,district,rain_total,status,timestamp,data_time
NT.Đông Hải,NT.Đông Hải,Cà Mau,xã Vĩnh Hậu,0.0,Không mưa,19/03/2026 19:00,19/03/2026 23:44:15
Phú Tân,Phú Tân,Cà Mau,xã Phú Tân,0.0,Không mưa,19/03/2026 19:00,19/03/2026 23:44:15
Thới Bình,Thới Bình,Cà Mau,xã Thới Bình,0.0,Không mưa,19/03/2026 19:00,19/03/2026 23:44:15
Trần Văn Thời,Trần Văn Thời,Cà Mau,xã Trần Văn Thời,0.0,Không mưa,19/03/2026 19:00,19/03/2026 23:44:15
Long Điền Tây,Long Điền Tây,Cà Mau,xã Định Thành,0.0,Không mưa,19/03/2026 19:00,19/03/2026 23:44:15
Cái Nước,Cái Nước,Cà Mau,xã Cái Nước,0.0,Không mưa,19/03/2026 19:00,19/03/2026 23:44:15
NTQĐ.U Minh,NTQĐ.U Minh,Cà Mau,xã Khánh Hưng,0.0,Không mưa,19/03/2026 19:00,19/03/2026 23:44:15
Giá Rai,Giá Rai,Cà Mau,phường Giá Rai,0.0,Không mưa,19/03/2026 19:00,19/03/2026 23:44:15
Đầm Dơi,Đầm Dơi,Cà Mau,xã Đầm Dơi,0.0,Không mưa,19/03/2026 19:00,19/03/2026 23:44:15
U Minh(BĐ),U Minh(BĐ),Cà Mau,xã Nguyễn Phích,0.0,Không mưa,19/03/2026 19:00,19/03/2026 23:44:15
